TAID,Pubchem CID,IUPAC Name,SMILES,Canonical SMILES,InChIKey,mouse_intravenous_LD50
TOX-1622,229851,"2-[2-(1,3-benzodioxol-5-yl)ethenyl]-4-methoxy-2,3-dihydropyran-6-one",COC1=CC(=O)OC(C=Cc2ccc3c(c2)OCO3)C1,COC1=CC(=O)OC(C=Cc2ccc3c(c2)OCO3)C1,GTEXBOVBADJOQH-UHFFFAOYSA-N,3.747985393
TOX-1630,52167,"9-hydroxy-5,8a-dimethyl-1-methylidene-3a,4,5,5a,9,9a-hexahydroazuleno[6,7-b]furan-2,8-dione",C=C1C(=O)OC2CC(C)C3C=CC(=O)C3(C)C(O)C12,C=C1C(=O)OC2CC(C)C3C=CC(=O)C3(C)C(O)C12,ZVLOPMNVFLSSAA-UHFFFAOYSA-N,3.719836565
TOX-1632,985,hexadecanoic acid,CCCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCCC(=O)O,IPCSVZSSVZVIGE-UHFFFAOYSA-N,3.653093977
TOX-1633,500216,"4-(3-ethenyl-3,7-dimethylocta-1,6-dienyl)phenol",C=CC(C)(C=Cc1ccc(O)cc1)CCC=C(C)C,C=CC(C)(C=Cc1ccc(O)cc1)CCC=C(C)C,LFYJSSARVMHQJB-UHFFFAOYSA-N,3.917537695
TOX-1642,5156,"3,5a,9-trimethyl-3a,4,5,9b-tetrahydro-3H-benzo[g][1]benzofuran-2,8-dione",CC1=C2C3OC(=O)C(C)C3CCC2(C)C=CC1=O,CC1=C2C3OC(=O)C(C)C3CCC2(C)C=CC1=O,XJHDMGJURBVLLE-UHFFFAOYSA-N,3.136202486
TOX-1645,2950,"1,8-dihydroxyanthracene-9,10-dione",O=C1c2cccc(O)c2C(=O)c2c(O)cccc21,O=C1c2cccc(O)c2C(=O)c2c(O)cccc21,QBPFLULOKWLNNW-UHFFFAOYSA-N,1.380598315
TOX-1648,2230,"methyl 1-methyl-3,6-dihydro-2H-pyridine-5-carboxylate",COC(=O)C1=CCCN(C)C1,COC(=O)C1=CCCN(C)C1,HJJPJSXJAXAIPN-UHFFFAOYSA-N,3.751974994
TOX-1652,98356,"4-methoxy-2-(2-phenylethyl)-2,3-dihydropyran-6-one",COC1=CC(=O)OC(CCc2ccccc2)C1,COC1=CC(=O)OC(CCc2ccccc2)C1,VOOYTQRREPYRIW-UHFFFAOYSA-N,3.641734078
TOX-1654,10376,"4-methoxy-2-(2-phenylethenyl)-2,3-dihydropyran-6-one",COC1=CC(=O)OC(C=Cc2ccccc2)C1,COC1=CC(=O)OC(C=Cc2ccccc2)C1,XEAQIWGXBXCYFX-UHFFFAOYSA-N,3.523375068
TOX-1655,11005,tetradecanoic acid,CCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCC(=O)O,TUNFSRHWOTWDNC-UHFFFAOYSA-N,3.725182006
TOX-1662,267769,"14-oxa-7-azatetracyclo[6.6.1.01,11.02,7]pentadeca-9,11-dien-13-one",O=C1C=C2C=CC3CC2(O1)C1CCCCN31,O=C1C=C2C=CC3CC2(O1)C1CCCCN31,SWZMSZQQJRKFBP-UHFFFAOYSA-N,4.667717721
TOX-1666,4819,3-ethyl-4-[(3-methylimidazol-4-yl)methyl]oxolan-2-one,CCC1C(=O)OCC1Cc1cncn1C,CCC1C(=O)OCC1Cc1cncn1C,QCHFTSOMWOSFHM-UHFFFAOYSA-N,3.223931367
TOX-1672,10205,"5-hydroxy-2-methylnaphthalene-1,4-dione",CC1=CC(=O)c2c(O)cccc2C1=O,CC1=CC(=O)c2c(O)cccc2C1=O,VCMMXZQDRFWYSE-UHFFFAOYSA-N,4.372031301
TOX-1676,5079496,(4-hydroxy-5-methyloxolan-2-yl)methyl-trimethylazanium,CC1OC(C[N+](C)(C)C)CC1O,CC1OC(C[N+](C)(C)C)CC1O,UQOFGTXDASPNLL-UHFFFAOYSA-N,5.666722454
TOX-1677,370,"3,4,5-trihydroxybenzoic acid",O=C(O)c1cc(O)c(O)c(O)c1,O=C(O)c1cc(O)c(O)c(O)c1,LNTHITQWFMADLM-UHFFFAOYSA-N,2.725605396
TOX-1679,93004,"4,10-dioxatricyclo[5.2.1.02,6]decane-3,5-dione",O=C1OC(=O)C2C3CCC(O3)C12,O=C1OC(=O)C2C3CCC(O3)C12,JAABVEXCGCXWRR-UHFFFAOYSA-N,4.225691706
TOX-1680,5032,2-(methylamino)-1-phenylpropan-1-ol,CNC(C)C(O)c1ccccc1,CNC(C)C(O)c1ccccc1,KWGRBVOPPLSCSI-UHFFFAOYSA-N,3.22904033
TOX-1681,3314,2-methoxy-4-prop-2-enylphenol,C=CCc1ccc(O)c(OC)c1,C=CCc1ccc(O)c(OC)c1,RRAFCDWBNXTKKO-UHFFFAOYSA-N,3.358051236
TOX-1683,581,2-acetamido-3-sulfanylpropanoic acid,CC(=O)NC(CS)C(=O)O,CC(=O)NC(CS)C(=O)O,PWKSKIMOESPYIA-UHFFFAOYSA-N,1.632931236
TOX-1684,5281426,7-hydroxychromen-2-one,O=c1ccc2ccc(O)cc2o1,O=c1ccc2ccc(O)cc2o1,ORHBXUUXSCNDEV-UHFFFAOYSA-N,2.556688369
TOX-1686,10626,"7-(hydroxymethyl)-2,3,5,8-tetrahydro-1H-pyrrolizin-1-ol",OCC1=CCN2CCC(O)C12,OCC1=CCN2CCC(O)C12,HJSJELVDQOXCHO-UHFFFAOYSA-N,2.388794064
TOX-1693,2537,"1,7,7-trimethylbicyclo[2.2.1]heptan-2-one",CC12CCC(CC1=O)C2(C)C,CC12CCC(CC1=O)C2(C)C,DSSYKIVIOFKYAU-UHFFFAOYSA-N,2.677370239
TOX-1703,338,2-hydroxybenzoic acid,O=C(O)c1ccccc1O,O=C(O)c1ccccc1O,YGSDEFSMJLZEOE-UHFFFAOYSA-N,2.658368945
TOX-1705,931,naphthalene,c1ccc2ccccc2c1,c1ccc2ccccc2c1,UFWIBTONFRDIAS-UHFFFAOYSA-N,3.107799938
TOX-1708,7991,pentanoic acid,CCCCC(=O)O,CCCCC(=O)O,NQPDZGIKBAWPEJ-UHFFFAOYSA-N,1.898576379
TOX-1713,1493,"2,4-dinitrophenol",O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,UFBJCMHMOXMLKC-UHFFFAOYSA-N,3.516882274
TOX-1716,8076,2-ethoxyethanol,CCOCCO,CCOCCO,ZNQVEEAIQZEUHB-UHFFFAOYSA-N,1.363766214
TOX-1721,1981,2-[2-[1-(4-chlorobenzoyl)-5-methoxy-2-methylindol-3-yl]acetyl]oxyacetic acid,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,FSQKKOOTNAMONP-UHFFFAOYSA-N,4.086160395
TOX-1732,2077,2-[[1-(3-acetylsulfanyl-2-methylpropanoyl)pyrrolidine-2-carbonyl]amino]-3-phenylpropanoic acid,CC(=O)SCC(C)C(=O)N1CCCC1C(=O)NC(Cc1ccccc1)C(=O)O,CC(=O)SCC(C)C(=O)N1CCCC1C(=O)NC(Cc1ccccc1)C(=O)O,FHHHOYXPRDYHEZ-UHFFFAOYSA-N,2.609064823
TOX-1735,2087,"1,8,9,10,11,11-hexachlorotetracyclo[6.2.1.13,6.02,7]dodeca-4,9-diene",ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,QBYJBZPUGVGKQQ-UHFFFAOYSA-N,4.239971231
TOX-1740,2130,adamantan-1-amine,NC12CC3CC(CC(C3)C1)C2,NC12CC3CC(CC(C3)C1)C2,DKNWSYNQZKUICI-UHFFFAOYSA-N,3.201980392
TOX-1742,12877832,"6-(azepan-1-ylmethylideneamino)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",CC1(C)SC2C(N=CN3CCCCCC3)C(=O)N2C1C(=O)O,CC1(C)SC2C(N=CN3CCCCCC3)C(=O)N2C1C(=O)O,BWWVAEOLVKTZFQ-UHFFFAOYSA-N,2.433281678
TOX-1743,2141,2-(3-aminopropylamino)ethylsulfanylphosphonic acid,NCCCNCCSP(=O)(O)O,NCCCNCCSP(=O)(O)O,JKOQGQFVAUAYPM-UHFFFAOYSA-N,2.585019011
TOX-1744,564,6-aminohexanoic acid,NCCCCCC(=O)O,NCCCCCC(=O)O,SLXKOJJOQWFEFD-UHFFFAOYSA-N,1.427654993
TOX-1746,2160,"N,N-dimethyl-3-(2-tricyclo[9.4.0.03,8]pentadeca-1(15),3,5,7,11,13-hexaenylidene)propan-1-amine",CN(C)CCC=C1c2ccccc2CCc2ccccc21,CN(C)CCC=C1c2ccccc2CCc2ccccc21,KRMDCWKBEZIMAB-UHFFFAOYSA-N,4.179954039
TOX-1749,50515,"5-amino-2-[2-(dimethylamino)ethyl]benzo[de]isoquinoline-1,3-dione",CN(C)CCN1C(=O)c2cccc3cc(N)cc(c23)C1=O,CN(C)CCN1C(=O)c2cccc3cc(N)cc(c23)C1=O,UPALIKSFLSVKIS-UHFFFAOYSA-N,3.626219292
TOX-1751,2179,N-[4-(acridin-9-ylamino)-3-methoxyphenyl]methanesulfonamide,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,XCPGHVQEEXUHNC-UHFFFAOYSA-N,4.067279517
TOX-1752,8944,ethyl 1-[2-(4-aminophenyl)ethyl]-4-phenylpiperidine-4-carboxylate,CCOC(=O)C1(c2ccccc2)CCN(CCc2ccc(N)cc2)CC1,CCOC(=O)C1(c2ccccc2)CCN(CCc2ccc(N)cc2)CC1,LKYQLAWMNBFNJT-UHFFFAOYSA-N,4.204709335
TOX-1753,2196,1-(4-methoxybenzoyl)pyrrolidin-2-one,COc1ccc(C(=O)N2CCCC2=O)cc1,COc1ccc(C(=O)N2CCCC2=O)cc1,ZXNRTKGTQJPIJK-UHFFFAOYSA-N,3.340919793
TOX-1754,4157,"(8,8-dimethyl-8-azoniabicyclo[3.2.1]octan-3-yl) 2-propylpentanoate",CCCC(CCC)C(=O)OC1CC2CCC(C1)[N+]2(C)C,CCCC(CCC)C(=O)OC1CC2CCC(C1)[N+]2(C)C,XGGHHHBGPSNXFE-UHFFFAOYSA-N,4.651597954
TOX-1756,2215,"6-methyl-5,6,6a,7-tetrahydro-4H-dibenzo[de,g]quinoline-10,11-diol",CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,VMWNQDUVQKEIOC-UHFFFAOYSA-N,3.763058637
TOX-1759,2218,"N'-(2,3-dihydro-1H-inden-2-yl)-N,N-diethyl-N'-phenylpropane-1,3-diamine",CCN(CC)CCCN(c1ccccc1)C1Cc2ccccc2C1,CCN(CC)CCCN(c1ccccc1)C1Cc2ccccc2C1,NZLBHDRPUJLHCE-UHFFFAOYSA-N,4.275528222
TOX-1761,32170,methyl 4-methyl-3-[2-(propylamino)propanoylamino]thiophene-2-carboxylate,CCCNC(C)C(=O)Nc1c(C)csc1C(=O)OC,CCCNC(C)C(=O)Nc1c(C)csc1C(=O)OC,QTGIAADRBBLJGA-UHFFFAOYSA-N,3.885698853
